Year,elder,youth,kid
2010-01-01,0.0493835733066258,0.6701592308254583,0.2804571958679159
2011-01-01,0.05011922202429993,0.6739368424296953,0.2759439355460048
2012-01-01,0.05084711946495759,0.6773910231124071,0.2717618574226354
2013-01-01,0.051568864117464225,0.6805491491244383,0.2678819867580976
2014-01-01,0.05228592690439895,0.6834362539191671,0.26427781917643395
2015-01-01,0.052999658795228916,0.6860751821132397,0.2609251590915315
2016-01-01,0.05371129891226377,0.6884867483475784,0.25780195274015794
2017-01-01,0.05442198276044657,0.6906898953078748,0.2548881219316786
2018-01-01,0.05513275032836346,0.6927018470638391,0.2521654026077975
2019-01-01,0.05584455389364075,0.6945382552752429,0.24961719083111625
2020-01-01,0.05655826542839452,0.69621333681441,0.2472283977571956
2021-01-01,0.057274683545320955,0.6977400020662686,0.24498531438841037
