"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Australia","AUS","Population ages 65 and above, total","SP.POP.65UP.TO","884868","904704","928144","946353","964280","981496","995393","998328","1006166","1018293","1031064","1079689","1112392","1142706","1187416","1220598","1254217","1293980","1336486","1376153","1413926","1460177","1501769","1534800","1569235","1613701","1662464","1715038","1773165","1832635","1887187","1945565","2000583","2048277","2095025","2142807","2191058","2233026","2272163","2314268","2360353","2410183","2459554","2512170","2565354","2625040","2675535","2703824","2774878","2860193","2947089","3045014","3166837","3296373","3419308","3537773","3662774","3789676","3911408","4038531","4165664","4247226",
"Austria","AUT","Population ages 65 and above, total","SP.POP.65UP.TO","856398","874313","893358","912879","932415","951555","974014","995690","1013834","1029020","1043203","1063149","1082482","1099826","1111336","1116281","1130087","1144444","1153508","1154031","1147167","1140504","1121931","1096851","1078107","1069405","1073880","1087145","1105943","1126606","1145648","1169464","1189691","1202526","1207331","1207332","1213374","1217350","1220718","1225773","1232972","1248168","1264854","1282726","1305307","1332688","1363497","1395543","1429093","1460518","1488551","1514952","1540538","1566476","1594717","1628326","1652029","1667717","1679837","1693899","1712395","1744588",
"Azerbaijan","AZE","Population ages 65 and above, total","SP.POP.65UP.TO","209728","213365","218048","223460","229167","234950","241730","248965","256284","263033","268897","275027","279292","282476","285757","289717","295207","301353","307181","311072","312289","314099","313610","311870","310288","309724","311864","314375","318315","325267","333017","345483","361407","378604","394556","408318","422801","435053","446348","458068","470835","491712","513064","532309","546102","552678","554430","550162","547161","542722","534050","533749","534181","536444","542462","553537","569419","590226","615787","646204","680440","722573",
"Burundi","BDI","Population ages 65 and above, total","SP.POP.65UP.TO","82128","84423","86487","88380","90199","91976","94782","97544","100088","102187","103736","107816","111412","114710","117911","121099","123087","125085","127047","128875","130433","133082","135466","137496","139143","140438","143037","145336","147299","148834","149878","151923","153194","153642","153268","152134","154849","156842","158205","159042","159362","161410","163374","165166","166630","167641","171761","175984","180141","183981","187468","191511","195194","199308","204994","212939","223950","236761","251104","266598","283017","301137",
"Belgium","BEL","Population ages 65 and above, total","SP.POP.65UP.TO","1086878","1104082","1122246","1144592","1169183","1193354","1220249","1245060","1266569","1284567","1297673","1318383","1337300","1351928","1364950","1376738","1395158","1412507","1425885","1430449","1424173","1417155","1398551","1376154","1360100","1356466","1371757","1397817","1432671","1466699","1494260","1525771","1552481","1575186","1595483","1614690","1639761","1664882","1688391","1709963","1729026","1749584","1769109","1785372","1798968","1811864","1826377","1837725","1848809","1864031","1888644","1924385","1954045","1984942","2015071","2045400","2081793","2113968","2147000","2183661","2222755","2268229",
"Benin","BEN","Population ages 65 and above, total","SP.POP.65UP.TO","122101","122909","123214","123013","122341","121221","124635","127777","130649","133226","135503","138994","142206","145116","147683","149880","152987","155714","158120","160239","162100","164771","167206","169377","171255","172840","175873","178689","181375","184023","186704","190377","194143","197949","201716","205418","209207","212768","216242","219820","223645","228806","234015","239460","245385","251923","260803","270072","279457","288533","297126","306226","314861","323348","332090","341362","351768","362518","373678","385294","397455","410881",
"Burkina Faso","BFA","Population ages 65 and above, total","SP.POP.65UP.TO","112601","117133","121236","124933","128272","131303","136947","142254","147169","151650","155697","162080","168076","173678","178868","183632","191136","198141","204699","210887","216755","225252","233680","241917","249793","257209","264811","271873","278352","284160","289258","294660","299155","302842","305754","307953","311807","314859","317280","319258","320945","326145","330967","335522","339971","344384","352985","361488","369784","377679","385123","395809","406148","416228","426159","436081","449327","462294","475414","489194","503984","522432",
"Bangladesh","BGD","Population ages 65 and above, total","SP.POP.65UP.TO","1293053","1332406","1370290","1406720","1442161","1477662","1545666","1612060","1674119","1729538","1778213","1856671","1928011","1996189","2065675","2139721","2212281","2282039","2347180","2406462","2459809","2533040","2598813","2656744","2707084","2750989","2852574","2953038","3051717","3148077","3242586","3374674","3504236","3632573","3761070","3891607","4089368","4289355","4493331","4703182","4920068","5137215","5350694","5561582","5772162","5983904","6220331","6447200","6661340","6859810","7042041","7263483","7476470","7673014","7840576","7974315","8113096","8222961","8324441","8446365","8608320","8865230",
"Bulgaria","BGR","Population ages 65 and above, total","SP.POP.65UP.TO","595963","611876","629268","648203","668844","690577","713662","737269","762365","789163","816575","843538","869298","895089","922107","947582","975139","1004167","1026589","1041759","1049963","1048747","1037306","1022284","1013722","1015069","1037687","1071143","1109594","1133355","1146109","1172228","1194209","1217233","1244603","1269847","1295044","1316568","1333761","1347306","1355812","1349941","1335685","1335392","1332857","1328891","1328713","1327263","1326476","1329454","1337026","1352979","1374543","1398483","1420363","1436950","1456167","1468797","1476797","1482556","1488589","1500509",
"Bahrain","BHR","Population ages 65 and above, total","SP.POP.65UP.TO","4859","4756","4561","4265","3858","3346","3594","3893","4263","4727","5313","5464","5669","5910","6160","6413","6591","6760","6936","7153","7427","8254","9048","9793","10458","11051","10976","10902","10838","10803","10823","11464","12087","12643","13111","13533","14135","14725","15243","15744","16304","16666","17213","17953","18863","19920","20880","22054","23330","24586","25807","27389","28623","29633","30661","31885","33399","35444","38080","41338","45112","50580",
"Bahamas, The","BHS","Population ages 65 and above, total","SP.POP.65UP.TO","4152","4260","4374","4518","4678","4838","4999","5162","5348","5536","5730","6016","6250","6459","6681","6919","7223","7574","7962","8337","8663","8973","9195","9375","9554","9745","9932","10158","10402","10668","10939","11336","11733","12137","12550","12994","13538","14102","14702","15348","16048","16633","17217","17770","18280","18779","19366","19960","20559","21145","21700","22342","22970","23618","24299","25042","25983","26954","27988","29146","30469","31883",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, total","SP.POP.65UP.TO","111050","116294","122272","128706","135166","141422","147564","153122","158340","163594","169188","178411","187517","196149","203937","210662","218902","226753","233737","239000","242162","242870","241540","239494","238548","239751","247200","257050","268759","281332","293911","307950","319974","330569","341135","353009","361281","371087","382742","396399","411706","432080","454933","477695","496419","508934","518111","520598","518984","517178","517271","513079","508937","504214","499495","496591","510596","527858","547462","567810","587783","604764",
"Belarus","BLR","Population ages 65 and above, total","SP.POP.65UP.TO","684346","686231","688409","691805","697609","706469","725188","746812","770180","793405","815051","841985","865973","888758","912328","937070","961443","988387","1013918","1030715","1036684","1034783","1023078","1007525","996385","994320","1003166","1018573","1036211","1059583","1087384","1122584","1164605","1207818","1242485","1266975","1294220","1310198","1319914","1330512","1345147","1370047","1396164","1418420","1428959","1422996","1413833","1393167","1366377","1342021","1324337","1320461","1322879","1330832","1341970","1355092","1365082","1378659","1401202","1431882","1461415","1503692",
