Year,elder,youth,kid
1964-01-01,0.03250438980542861,0.5043836458148613,0.46311196437971014
1965-01-01,0.03199182747850798,0.5060276754731352,0.4619804970483568
1966-01-01,0.032161218653611004,0.5073344117715856,0.4605043695748034
1967-01-01,0.032281170390633544,0.5110099508068675,0.45670887880249894
1968-01-01,0.0324202321949842,0.5159728851756699,0.45160688262934595
1969-01-01,0.032672394957246366,0.5206824656769417,0.44664513936581196
1970-01-01,0.0330808650876225,0.5243959000497125,0.44252323486266504
1971-01-01,0.03375260815115372,0.5299629358240691,0.43628445602477717
1972-01-01,0.03442771666570855,0.5337571661307826,0.4318151172035089
1973-01-01,0.03502334843889717,0.5367095047736331,0.4282671467874698
1974-01-01,0.03545264795130225,0.5401623202294109,0.4243850318192869
1975-01-01,0.03568477681114806,0.5446332892869861,0.41968193390186587
1976-01-01,0.035837611784014484,0.5488467591778702,0.4153156290381153
1977-01-01,0.03586956785185789,0.5540904276541161,0.41004000449402606
1978-01-01,0.03584873511316229,0.5597964586003298,0.40435480628650794
1979-01-01,0.03584634066701907,0.5649964506035832,0.3991572087293978
1980-01-01,0.03590314720279482,0.5691885415478398,0.3949083112493653
1981-01-01,0.03621797275517438,0.5723268473460562,0.3914551798987694
1982-01-01,0.03650840651596981,0.5746656379578357,0.3888259555261946
1983-01-01,0.036749391626357535,0.5764361096503786,0.3868144987232639
1984-01-01,0.036911856664231225,0.578069680035281,0.3850184633004877
1985-01-01,0.03699165403972735,0.579775246036201,0.3832330999240717
1986-01-01,0.03706300078734778,0.5816269352724328,0.38131006394021943
1987-01-01,0.037027893226511746,0.5839737116635488,0.37899839510993943
1988-01-01,0.03692689721291916,0.5867814130381783,0.3762916897489025
1989-01-01,0.03683207464492619,0.5897729477520088,0.373394977603065
1990-01-01,0.03680662662042625,0.5927091689857871,0.37048420439378665
1991-01-01,0.037054817672195484,0.5953882679965485,0.3675569143312559
1992-01-01,0.037351141227130374,0.5979092715393146,0.36473958723355504
1993-01-01,0.03764843352296222,0.6004081314039009,0.36194343507313687
1994-01-01,0.03788640705337222,0.6030996959180294,0.35901389702859837
1995-01-01,0.038054571925540924,0.6060911271030034,0.3558543009714557
1996-01-01,0.03826922545317812,0.6097855803742565,0.3519451941725654
1997-01-01,0.03837063756591796,0.6137022620913156,0.3479271003427664
1998-01-01,0.038467399526323005,0.6179058332739459,0.3436267671997311
1999-01-01,0.03870246944867621,0.6224440503019841,0.3388534802493397
2000-01-01,0.03915047572993516,0.6272874848475389,0.3335620394225259
2001-01-01,0.04029926886769076,0.630474355537944,0.3292263755943653
2002-01-01,0.04144195291624297,0.6348923809104041,0.32366566617335285
2003-01-01,0.04241493956330952,0.6402652984933977,0.31731976194329276
2004-01-01,0.04324343078603737,0.6459519678077343,0.3108046014062283
2005-01-01,0.04415359461032754,0.6513201416159169,0.3045262637737555
2006-01-01,0.045593622521434854,0.6543777994572466,0.30002857802131855
2007-01-01,0.04688595781637281,0.657680300573716,0.29543374160991126
2008-01-01,0.04788195242892285,0.661511676291121,0.29060637127995614
2009-01-01,0.04863844066123147,0.6660283284991353,0.28533323083963325
