Year,elder,youth,kid
2010-01-01,0.049396129862622616,0.6704678224443047,0.2801360476930726
2011-01-01,0.050156000044042616,0.6748147818783266,0.2750292180776308
2012-01-01,0.05091797258244146,0.6791508283403219,0.26993119907723656
2013-01-01,0.05167627682960912,0.6834205058429254,0.2649032173274656
2014-01-01,0.05243435591046704,0.6876624068870395,0.2599032372024935
2015-01-01,0.05319125589227763,0.6918702283260635,0.25493851578165877
2016-01-01,0.053945244420756315,0.6960270435291992,0.25002771205004454
2017-01-01,0.05469851894849252,0.7001614590061465,0.245140022045361
2018-01-01,0.05544920848973218,0.7042500027307086,0.2403007887795593
2019-01-01,0.05619794921363702,0.7083021466864347,0.23549990409992835
2020-01-01,0.056945052109167164,0.7123224347286954,0.23073251316213744
2021-01-01,0.05768949327865803,0.7162985480657246,0.22601195865561757
