Year,elder,youth,kid
2010-01-01,0.049333713760346995,0.6705810863420623,0.28008519989759084
2011-01-01,0.050032619319880185,0.6751118827995758,0.27485549788054414
2012-01-01,0.05073540505733934,0.6796210358651608,0.2696435590774999
2013-01-01,0.051442175688914446,0.6841098128952735,0.26444801141581203
2014-01-01,0.05215302579042915,0.6885795114120171,0.2592674627975537
2015-01-01,0.05286804883573478,0.6930314002477043,0.254100550916561
2016-01-01,0.05358733787017177,0.6974667171238645,0.24894594500596373
2017-01-01,0.05431098561704092,0.7018866698695782,0.24380234451338095
2018-01-01,0.05503908454385749,0.7062924378157246,0.23866847764041793
2019-01-01,0.05577172692409753,0.7106851731413647,0.23354309993453778
2020-01-01,0.05650900489697564,0.715066002160998,0.2284249929420264
2021-01-01,0.05725101052554659,0.7194360265551764,0.2233129629192771
