"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Population ages 0-14, total","SP.POP.0014.TO","23267","23718","24169","24657","25205","25810","26372","27023","27708","28301","28663","28130","27503","26874","26337","25935","25221","24614","24132","23773","23489","22907","22383","21934","21576","21268","20714","20167","19711","19395","19252","19321","19478","19743","20091","20483","20693","20941","21228","21533","21808","21808","21780","21729","21667","21593","21634","21647","21621","21550","21426","21453","21391","21285","21190","21123","21179","21215","21260","21321","21398","21457",
"Australia","AUS","Population ages 0-14, total","SP.POP.0014.TO","3101573","3171575","3240425","3282439","3325371","3373205","3437926","3470716","3525226","3591359","3646512","3735708","3768306","3786824","3836172","3825230","3822003","3797908","3762559","3729878","3717172","3698624","3710773","3722821","3725293","3722489","3749364","3750096","3745514","3752667","3769581","3782297","3811058","3841441","3871722","3898194","3932924","3951986","3963018","3978969","3999611","4010103","4015963","4022831","4027287","4041179","4054781","4040682","4092069","4152405","4193157","4252616","4316146","4375969","4432970","4498208","4584735","4690354","4794332","4889361","4956854","4974053",
"Austria","AUT","Population ages 0-14, total","SP.POP.0014.TO","1566864","1591647","1615511","1640796","1669908","1702165","1734910","1770419","1801100","1822857","1835769","1840231","1838054","1826900","1802605","1766122","1723301","1683462","1640041","1593504","1549231","1511937","1473669","1434631","1400817","1370721","1350296","1327219","1306500","1296431","1299884","1314644","1342729","1374321","1397371","1408227","1408301","1397122","1378290","1360628","1348118","1335267","1329418","1326404","1322536","1314129","1303282","1285491","1265159","1246028","1230814","1218637","1211102","1208730","1211372","1220347","1238043","1251975","1264013","1275321","1285114","1296004",
"Azerbaijan","AZE","Population ages 0-14, total","SP.POP.0014.TO","1539915","1641353","1747739","1852902","1948595","2029472","2108569","2167101","2209298","2242330","2269677","2284469","2296301","2301987","2296943","2280263","2261608","2233871","2201126","2170350","2146219","2132288","2127157","2131157","2143690","2164440","2205403","2253212","2304369","2355531","2382349","2433210","2482351","2526284","2560672","2583105","2588333","2583913","2569472","2543307","2506956","2447675","2386791","2324231","2261750","2201139","2157436","2112775","2091700","2080991","2067587","2073578","2095964","2130775","2169867","2207180","2257698","2294774","2322882","2349884","2373427","2375236",
"Burundi","BDI","Population ages 0-14, total","SP.POP.0014.TO","1226079","1258476","1293759","1330517","1366338","1400453","1445591","1487965","1526272","1558759","1583417","1612023","1631876","1646324","1661031","1680860","1706857","1738149","1774552","1814646","1857676","1920157","1982978","2048468","2118812","2194249","2279755","2366858","2452722","2533251","2605955","2708684","2802130","2885043","2955600","3012086","3056253","3089005","3116608","3148960","3194025","3225883","3271076","3327426","3391090","3459859","3539176","3622560","3711776","3809288","3916196","4046742","4183302","4325978","4473613","4624917","4778516","4932298","5084985","5234957","5380807","5521453",
"Belgium","BEL","Population ages 0-14, total","SP.POP.0014.TO","2152022","2183767","2201944","2217487","2235830","2255517","2271761","2282094","2286057","2284219","2274388","2256954","2244711","2228512","2206840","2178235","2146830","2107896","2064865","2023102","1985822","1947635","1915000","1887639","1862681","1839379","1822790","1806380","1795317","1788982","1786760","1785479","1791023","1800753","1809334","1813396","1815393","1813600","1808163","1803235","1800715","1793891","1792686","1793534","1794736","1797090","1803471","1810116","1817723","1826821","1839474","1867534","1881300","1892011","1902944","1917082","1928234","1937926","1948932","1959814","1966443","1965390",
"Benin","BEN","Population ages 0-14, total","SP.POP.0014.TO","936951","961011","986661","1013775","1041575","1069668","1102195","1134183","1165996","1198095","1230722","1269619","1307902","1346104","1384812","1424489","1470725","1517333","1564485","1612240","1660673","1716350","1771686","1827304","1883912","1941922","2006666","2071568","2137816","2206872","2279693","2358176","2439014","2520954","2601744","2679591","2768206","2852636","2934507","3016165","3099203","3189375","3279682","3369818","3459120","3547182","3645953","3743589","3840416","3936906","4033506","4138619","4242294","4345221","4448213","4551586","4660441","4768295","4875131","4980737","5085024","5195080",
"Burkina Faso","BFA","Population ages 0-14, total","SP.POP.0014.TO","1995469","2037325","2075295","2111126","2147082","2184555","2235289","2286595","2337907","2387773","2435320","2497191","2554535","2609318","2664542","2722080","2795875","2871717","2949561","3028904","3109926","3209356","3307234","3405106","3504491","3605473","3719358","3831977","3943636","4054197","4163498","4284236","4403229","4520776","4637388","4753741","4889179","5022511","5155610","5290717","5429021","5588071","5747330","5908219","6072273","6240654","6432258","6625602","6820777","7016930","7213252","7426964","7636329","7842964","8048640","8253721","8463139","8671798","8877905","9079151","9274847","9477813",
"Bangladesh","BGD","Population ages 0-14, total","SP.POP.0014.TO","20191455","20947863","21671632","22397038","23173281","24022967","25002464","26044374","27086363","28020522","28766147","29437114","29972419","30427290","30908600","31496446","32285655","33107536","33957457","34800021","35606527","36502638","37327293","38108556","38885492","39675639","40506745","41325440","42109536","42818993","43429145","44049204","44571299","45015757","45414574","45787206","46152068","46481970","46770564","47005230","47178540","47444711","47643895","47771560","47819589","47778952","47785909","47703691","47557751","47384233","47204866","46901167","46623244","46353532","46065580","45748820","45423270","45070552","44711068","44371981","44061889","43756363",
"Bulgaria","BGR","Population ages 0-14, total","SP.POP.0014.TO","2052880","2052648","2041894","2023925","2005898","1988976","1975104","1962785","1954153","1947928","1940601","1937336","1933896","1933608","1938512","1941777","1949972","1959747","1960724","1960299","1962711","1966707","1965264","1959491","1952209","1939945","1916486","1901312","1885678","1839794","1773939","1728625","1670487","1609670","1556269","1505548","1453730","1406293","1362480","1320939","1279448","1215328","1153920","1112193","1074867","1042873","1027063","1013805","1004468","999719","998134","1003998","1008330","1012555","1018130","1024567","1020446","1022102","1025337","1024417","1017877","1011934",
