Year,elder,youth,kid
2010-01-01,0.04939857646385873,0.6704631346150535,0.2801382889210878
2011-01-01,0.05016331366957497,0.6748295588825713,0.2750071274478537
2012-01-01,0.05093290903007302,0.6791313400422887,0.2699357509276384
2013-01-01,0.051707402781375006,0.6833692389989375,0.26492335821968754
2014-01-01,0.0524867684133424,0.6875431295869945,0.2599701019996632
2015-01-01,0.0532709595052578,0.6916526455230769,0.2550763949716653
2016-01-01,0.05405992439912864,0.6956973802113223,0.25024269538954896
2017-01-01,0.054853610824108806,0.6996769480708559,0.2454694411050353
2018-01-01,0.05565196737999399,0.7035910029600945,0.24075702965991164
2019-01-01,0.05645494403718888,0.7074392432853277,0.23610581267748346
2020-01-01,0.05726249232674162,0.7112214129525501,0.23151609472070828
2021-01-01,0.058074565430719254,0.7149373009989423,0.2269881335703385
