Year,elder,youth,kid
1964-01-01,0.03250438980542861,0.5043836458148613,0.4631119643797101
1965-01-01,0.03199182747850798,0.5060276754731352,0.4619804970483568
1966-01-01,0.03216121865361101,0.5073344117715856,0.4605043695748035
1967-01-01,0.03228117039063355,0.5110099508068676,0.4567088788024988
1968-01-01,0.03242023219498421,0.5159728851756697,0.451606882629346
1969-01-01,0.03267239495724637,0.5206824656769415,0.4466451393658121
1970-01-01,0.03308086508762251,0.5243959000497125,0.44252323486266504
1971-01-01,0.03375260815115373,0.529962935824069,0.4362844560247772
1972-01-01,0.03442771666570855,0.5337571661307827,0.4318151172035087
1973-01-01,0.03502334843889717,0.5367095047736332,0.4282671467874696
1974-01-01,0.03545264795130227,0.5401623202294108,0.42438503181928694
1975-01-01,0.03568477681114807,0.544633289286986,0.419681933901866
1976-01-01,0.035837611784014504,0.5488467591778704,0.41531562903811525
1977-01-01,0.0358695678518579,0.5540904276541161,0.41004000449402606
1978-01-01,0.0358487351131623,0.5597964586003299,0.4043548062865078
1979-01-01,0.035846340667019076,0.5649964506035833,0.3991572087293977
1980-01-01,0.03590314720279482,0.5691885415478396,0.39490831124936554
1981-01-01,0.036217972755174396,0.5723268473460562,0.3914551798987693
1982-01-01,0.0365084065159698,0.5746656379578357,0.38882595552619453
1983-01-01,0.03674939162635754,0.5764361096503784,0.38681449872326407
1984-01-01,0.03691185666423123,0.578069680035281,0.3850184633004877
1985-01-01,0.03699165403972736,0.579775246036201,0.3832330999240717
1986-01-01,0.03706300078734779,0.5816269352724328,0.3813100639402194
1987-01-01,0.03702789322651175,0.5839737116635488,0.37899839510993943
1988-01-01,0.036926897212919176,0.5867814130381783,0.3762916897489025
1989-01-01,0.0368320746449262,0.5897729477520088,0.3733949776030649
1990-01-01,0.03680662662042624,0.5927091689857868,0.37048420439378676
1991-01-01,0.0370548176721955,0.5953882679965485,0.3675569143312559
1992-01-01,0.037351141227130374,0.5979092715393146,0.364739587233555
1993-01-01,0.03764843352296221,0.6004081314039009,0.3619434350731368
1994-01-01,0.03788640705337222,0.6030996959180297,0.3590138970285982
1995-01-01,0.03805457192554094,0.6060911271030033,0.35585430097145565
1996-01-01,0.03826922545317813,0.6097855803742566,0.3519451941725655
1997-01-01,0.038370637565917964,0.6137022620913156,0.34792710034276647
1998-01-01,0.03846739952632302,0.6179058332739458,0.3436267671997312
1999-01-01,0.038702469448676224,0.622444050301984,0.3388534802493397
2000-01-01,0.03915047572993517,0.6272874848475388,0.333562039422526
2001-01-01,0.04029926886769076,0.630474355537944,0.32922637559436535
2002-01-01,0.04144195291624298,0.6348923809104042,0.32366566617335296
2003-01-01,0.04241493956330954,0.6402652984933976,0.31731976194329287
2004-01-01,0.043243430786037394,0.6459519678077342,0.31080460140622834
2005-01-01,0.04415359461032755,0.651320141615917,0.3045262637737555
2006-01-01,0.04559362252143486,0.6543777994572466,0.3000285780213186
2007-01-01,0.04688595781637281,0.6576803005737158,0.29543374160991126
2008-01-01,0.047881952428922854,0.661511676291121,0.2906063712799562
2009-01-01,0.04863844066123148,0.6660283284991354,0.2853332308396332
2010-01-01,0.04938168666026567,0.6710071685975353,0.27961114474219895
2011-01-01,0.051144705018979816,0.6758685450073195,0.27298674997370065
2012-01-01,0.05311792901855705,0.6799096772076167,0.2669723937738262
2013-01-01,0.05525858545967222,0.6834002043440813,0.2613412101962464
2014-01-01,0.05748607659002167,0.6865432918624901,0.2559706315474882
2015-01-01,0.05975574283806283,0.6893482913412242,0.25089596582071305
2016-01-01,0.062031042032640885,0.690806182491293,0.24716277547606613
2017-01-01,0.0643395337450295,0.6922225628286184,0.24343790342635213
2018-01-01,0.06671754625478857,0.6933310428849144,0.239951410860297
2019-01-01,0.06920771839839067,0.6938424851569442,0.23694979644466505
2020-01-01,0.0718368393892875,0.6936819621628845,0.23448119844782792
2021-01-01,0.07445531734235779,0.6928779560897779,0.23266672656786433
2022-01-01,0.0771702899396906,0.6920525577996829,0.23077715226062642
2023-01-01,0.08000486774415207,0.690887658512916,0.22910747374293197
2024-01-01,0.08294687761854262,0.6892929992494116,0.22776012313204586
2025-01-01,0.08597929447962223,0.6876023836601208,0.22641832186025715
2026-01-01,0.0890902139696934,0.6861275078699937,0.22478227816031288
2027-01-01,0.0922826495805269,0.6848206144888004,0.22289673593067263
2028-01-01,0.09557472728354005,0.6833604990693003,0.22106477364715965
2029-01-01,0.09899096117713964,0.6815403265105163,0.21946871231234408
2030-01-01,0.10254252689116777,0.6794732897564266,0.21798418335240574
2031-01-01,0.10621438059619813,0.6774222095572551,0.2163634098465467
2032-01-01,0.10997757416594897,0.6754932468383056,0.2145291789957455
2033-01-01,0.11382135461552723,0.6735484061251273,0.21263023925934543
2034-01-01,0.11777154808546629,0.6713918294171629,0.21083662249737087
2035-01-01,0.12186949434077612,0.6689802084142354,0.2091502972449884
2036-01-01,0.12612960024359368,0.6664323868723137,0.20743801288409264
2037-01-01,0.13052271424864617,0.6638726074549874,0.20560467829636633
2038-01-01,0.13500779357679057,0.6613061934143049,0.20368601300890463
2039-01-01,0.1395797123019568,0.6586437927663077,0.20177649493173555
2040-01-01,0.1442790944963168,0.6558086453880133,0.19991226011566987
2041-01-01,0.14915083230377058,0.6527990565808475,0.19805011111538195
