Year,elder,youth,kid
2010-01-01,0.04930361840029552,0.6707099868696579,0.2799863947300466
2011-01-01,0.050108514069412156,0.6748544557477344,0.27503703018285347
2012-01-01,0.051146550239780174,0.6782635985422227,0.27058985121799706
2013-01-01,0.052302352902368544,0.6813070075868636,0.26639063951076797
2014-01-01,0.0533768800209963,0.6845824856114484,0.26204063436755537
2015-01-01,0.054271547816187975,0.6883518002823412,0.25737665190147085
2016-01-01,0.05506786447823258,0.6923549605507634,0.25257717497100396
2017-01-01,0.055936659865547016,0.6961084651258618,0.24795487500859129
2018-01-01,0.05697723476975165,0.6993577006797276,0.24366506455052073
2019-01-01,0.05813712352885751,0.7022672564566361,0.23959562001450646
2020-01-01,0.059272917006531575,0.7052218521337508,0.23550523085971778
2021-01-01,0.06028619319435825,0.7084617084330823,0.23125209837255958
