Year,elder,youth,kid
2010-01-01,0.0494074048736959,0.6704661635272434,0.28012643159906075
2011-01-01,0.05017735207861078,0.6748632821174262,0.27495936580396296
2012-01-01,0.05096334794095898,0.6791796232266768,0.2698570288323642
2013-01-01,0.051756678336293174,0.6834257466833523,0.26481757498035435
2014-01-01,0.05255686626655182,0.6876371088530054,0.25980602488044285
2015-01-01,0.053370336397653095,0.6917485526851375,0.25488111091720944
2016-01-01,0.05419171728640721,0.6958111651505348,0.24999711756305806
2017-01-01,0.055020438510671885,0.6998118192887547,0.24516774220057344
2018-01-01,0.055863189995407535,0.7037247150486122,0.24041209495598023
2019-01-01,0.056711816222449245,0.7075849386930994,0.23570324508445148
2020-01-01,0.05757091699372701,0.7113737542237488,0.23105532878252422
2021-01-01,0.05844179703701237,0.7150799482226459,0.2264782547403416
